case_count,caseType (These have been narrowed down from the greater case type list. Only these are in Redivis),"Type (E = Evictions, D = Debt, PE = Possible Evictions (ie evictions + other things), PD = Possible Debt (ie debt + other things))",Notes,,,
1,PROW,X,Property Ownership,,,
2,PRQT,X,Quiet Title,,,
3,PTA,X,Paternity,,,
4,PTP,X,Paternity,,,
45,Public Information Act Record,X,,,,
67,Public Law,X,,,,
4,Railroad,X,,,,
2,RCVR,X,Appointment of Receiver,,,
13,RD,X,Foreclosure Right of Redemption,,,
2,Recognition as Legal Child,X,,,,
80,Record Appeal,X,,,,
396,Recorded Judgment,X,,,,
41,Registration of Foreign Order,X,,,,
60,DCA - ON RECORD,"PE, PD",Record Appeal,,,"'DCA - ON RECORD',"
174,DeNovo Appeal,"PE, PD",,,,"'DeNovo Appeal',"
21,REPL,X,Replevin,,,
670,Replevin,X,,,,
336,REPLEVIN,X,,,,
97,District Court DeNovo Appeal,"PE, PD",,,,"'District Court DeNovo Appeal',"
117,REST,X,Restitution,,,
205,RESTITUTION,X,,,,
908,Right of Redemption,X,,,,
1,RJ,X,Recorded Judgement,,,
13,STATE ROADS PET.,X,,,,
9,Structured Settlements,X,,,,
6,SU,X,Child Support,,,
196,Tax Sale,X,,,,
2,TDV,X,Transferred Domestic Violence,,,
73,District Court Record Appeal,"PE, PD",,,,"'District Court Record Appeal',"
2,DN,"PE, PD",District Court DeNovo Appeal,,,"'DN',"
254,Judgment - Monetary,"PE, PD",,,,"'Judgment - Monetary',"
1,TOFR,X,Fraud,,,
2,TOPL,X,Premises Liability,,,
29,TORLC,X,Large Claims,,,
7,TORSC,X,Small Claims,,,
4959,Tort,X,,,,
12630,TORT,X,,,,
15,Tort - Assault,X,,,,
12,Tort - Battery,X,,,,
17,Tort - Commercial,X,,,,
2,Tort - Conspiracy,X,,,,
17,Tort - Conversion,X,,,,
26,Tort - Defamation,X,,,,
7,Tort - False Arrest / Imprisonment,X,,,,
35,Tort - Fraud,X,,,,
3277,Tort - Large Claims,X,,,,
8,Tort - Lead Paint,X,,,,
4,Tort - Malicious Prosecution,X,,,,
179,Tort - Malpractice Medical,X,,,,
16,Tort - Malpractice Professional,X,,,,
9,Tort - Misrepresentation,X,,,,
2243,Tort - Motor,X,,,,
301,Tort - Negligence,X,,,,
5,Tort - Nuisance,X,,,,
403,Tort - Other,X,,,,
161,Tort - Premises Liability,X,,,,
26,Tort - Product Liability,X,,,,
651,Tort - Small Claims,X,,,,
11,Tort - Trespass,X,,,,
22,Tort - Wrongful Death,X,,,,
18850,TR,X,Traffic,,,
406293,Traffic,X,,,,
111,Transferred Domestic Violence,X,,,,
10,Trustee,X,,,,
3,TS,X,Tax Sale,,,
2,UC,X,Family & Domestic Relations,,,
212,UIFSA - Uniform Interstate Family Support Act,X,,,,
3,Uniform Child Custody,X,,,,
114,Uniform Child Custody / Support,X,,,,
6,UR,X,Family & Domestic Relations,,,
830,URESA / UIFSA,X,Child Support,,,
5,VI,X,Visitation,,,
266,Visitation,X,,,,
107,Vulnerable Adult DV,X,,,,
36,VULNERABLE ADULT DV,X,,,,
4,WC,X,WCC Admin Agency Appeal,,,
252,WCC De Novo,X,WCC Admin Agency Appeal De Novo,,,
18,WCC On Record,X,WCC Admin Agency Appeal On Record,,,
1088,Judgment - Restitution,"PE, PD",,,,"'Judgment - Restitution',"
4,MJ,"PE, PD",Monetary Judgement,,,"'MJ',"
case_count,caseType,Type,Notes,,,
5,Wrongful Termination,X,,,,
0,,X,,,,
